Motif,Loss (Original),Loss (Full SAE),Loss (Ablated)
Single Input Module,0.016134316750344425,0.016688691066392553,0.017380976181593386
Feedforward Loop,0.003964354168406294,0.004492258297626308,0.005997515940029572
Cascade,0.013366880986028205,0.013874864167249775,0.0187153476655927
Feedback Loop,0.005034443102887247,0.005488101333606001,0.006255236456820873
Cascade,0.012621410049277335,0.012877499467771733,0.018480940692809866
Cascade,0.006550748322169145,0.006980413941998404,0.009840793285922165
Single Input Module,0.01274933417732866,0.013263580637567326,0.014246254545453526
Feedforward Loop,0.0018825578416799566,0.0022674584839377262,0.0034553074931105623
Single Input Module,0.0012520342620374642,0.0017615468404691779,0.0030938740118441038
Feedback Loop,0.006787661614294043,0.007316765014420261,0.007998985144282942
Single Input Module,0.013982006857683707,0.01459502967707341,0.01578158913443812
Single Input Module,0.01827708763949686,0.01885934213070718,0.01924892030572167
Feedback Loop,0.009077961615333648,0.009610261595061478,0.009913553124625126
Feedforward Loop,0.019422107927526612,0.019943971759131998,0.021384852278606304
Cascade,0.007204274607310872,0.007782827819760696,0.01543883791103274
Feedback Loop,0.007181276284502022,0.007533424085465279,0.008173501981267924
Feedforward Loop,0.012148272147613114,0.01265791379551614,0.013867464848314963
Feedforward Loop,0.0036775602745204904,0.004235772553991794,0.0056796467837884725
Single Input Module,0.016013335270092906,0.016583179296014,0.017669980327846405
Feedback Loop,0.0032015121309774647,0.003734638474117821,0.005222411037679
Feedback Loop,0.002812792213317815,0.0034596863418610542,0.003897737174591036
Feedforward Loop,0.014862517388423216,0.015445996930346258,0.016594277622510745
Feedforward Loop,0.008275610620322007,0.008682234336230802,0.010074338430057771
Feedback Loop,0.010382116330923424,0.01062014182051445,0.012031093072702061
Feedback Loop,0.009347393535449632,0.009862442443260691,0.010805731817587493
Feedforward Loop,0.006972763640450207,0.007563116889512791,0.008572617055043866
Single Input Module,0.012483930206278526,0.01284207055997697,0.013937239052459553
Feedforward Loop,0.002462618286747067,0.002881768926457748,0.00363089040466548
Feedback Loop,0.012862726914542072,0.013301694712807339,0.014143611764402451
Cascade,0.016269769461083175,0.016906955674438152,0.022082508968392985
Cascade,0.007769658923462523,0.00824384044360889,0.013704796059029183
Single Input Module,0.00911504798389887,0.009644660011605327,0.010775187647695271
Single Input Module,0.004128461209715893,0.004497466140994646,0.006969297849235288
Feedforward Loop,0.003277441979339973,0.003822735611993324,0.004739705157817791
Feedback Loop,0.005156520171888335,0.005447360204919608,0.007079230470302802
Feedback Loop,0.019463859571698255,0.01977198245016835,0.020758725512443742
Feedforward Loop,0.019957069215929896,0.020412892613607295,0.021370810071016707
Cascade,0.01825705183336642,0.018699580912605082,0.0232780826922652
Cascade,0.009507880126888742,0.010223752979225053,0.01645553135594116
Single Input Module,0.015470772691245634,0.01604987588594994,0.01659518215855257
Cascade,0.00993571205447473,0.010431171788946047,0.015648108515108387
Single Input Module,0.002715505631033758,0.003166162382813425,0.004627743686984402
Feedback Loop,0.014220443329026757,0.014678797692671618,0.016107549318465676
Cascade,0.0013151687496292669,0.0016601024065226538,0.00672866538132868
Cascade,0.0028273544707369943,0.0033130082477739256,0.008930012023489056
Single Input Module,0.018797869785997956,0.019259043346100294,0.01981628715918587
Feedforward Loop,0.00497236079401656,0.005659592705748632,0.006857779675780853
Single Input Module,0.013539696874649402,0.014062442868109815,0.015716014245251028
Cascade,0.005955754321777771,0.006555802882553982,0.01170822374481324
Single Input Module,0.007441566029925312,0.008071505711351762,0.008637932633326986
Single Input Module,0.017270161545683758,0.017862228217255065,0.018748866989480386
Cascade,0.0025986593349059278,0.003127966582235796,0.0074136151642094274
Feedforward Loop,0.006394498520011848,0.006880199426541095,0.00691291432879057
Single Input Module,0.013387263930549408,0.013960714037037412,0.014483465406056701
Feedforward Loop,0.010383980588485258,0.010837727902465084,0.01128147922530036
Cascade,0.017135244799389382,0.017717450815388832,0.02461424379804278
Cascade,0.01066746745993644,0.011035610443860628,0.016755997685898825
Feedback Loop,0.019487200540296467,0.020075067895115557,0.020955270641018653
Single Input Module,0.009253492944698145,0.009883527459497799,0.010211765577464083
Single Input Module,0.010357836182558415,0.010920402917334916,0.011491824139126774
Single Input Module,0.011868079784974478,0.012366921452996279,0.013462220805553541
Feedback Loop,0.018382423414188522,0.018870010175300357,0.020240180584274226
Feedforward Loop,0.01187355691424593,0.012278605009728043,0.012980156343946666
Feedforward Loop,0.007021518097969275,0.007542927472382295,0.007920058083026302
Single Input Module,0.017040049673799917,0.017603560928890115,0.018063460493869872
Single Input Module,0.0036615962894939566,0.004267338640380194,0.005293019070120012
Feedforward Loop,0.017124726103568813,0.017666590050486073,0.018302500425804405
Single Input Module,0.006578245041025374,0.00712974856774624,0.008386641543202344
Feedforward Loop,0.012618760506447928,0.013000433944302486,0.014247931771398333
Cascade,0.014337370667896362,0.014860600283714002,0.020036781205766324
Single Input Module,0.0015247186656003895,0.0018686629583566626,0.003868837002909714
Single Input Module,0.0016829032021380996,0.0024143690588054505,0.0024807364625095765
Feedforward Loop,0.016939736539317903,0.017398460377998894,0.018696282203901054
Feedback Loop,0.016629410652533507,0.017040098625170585,0.017872690001473217
Feedforward Loop,0.016729511071964184,0.017350550935277848,0.018274932952531735
Cascade,0.01109573799979481,0.011810132408727343,0.017444051431045354
Cascade,0.0035221630226164266,0.004011443575100314,0.008525226289347189
Single Input Module,0.009340456993407086,0.00976327508563141,0.011593925950935488
Feedback Loop,0.01838906082490313,0.01873417795692072,0.01956261342486867
Feedback Loop,0.014577322531301184,0.014951234135867679,0.016410165109395067
Cascade,0.010817228891104768,0.011238468700068881,0.01816209311221416
Feedforward Loop,0.008972401186128007,0.009399327045805041,0.009759367179173476
Feedforward Loop,0.003283128308307201,0.003715127874895407,0.00458342495246177
Single Input Module,0.0017738472440604327,0.0023182291868750556,0.0037055462135897237
Cascade,0.0013260609348032546,0.0018959701729892534,0.007495866806700259
Cascade,0.004290835528290288,0.004591339371134523,0.008291146529541084
Feedback Loop,0.019033768900236333,0.01950132935547959,0.020763633855794845
Feedback Loop,0.012891338398570491,0.013507654773785988,0.01451277130429578
Feedforward Loop,0.013995311618564679,0.01455208845534044,0.015626179321030016
Feedback Loop,0.0015037149002908143,0.002068431169969519,0.0031314785838815334
Cascade,0.013866198505276654,0.014262758269628086,0.019467041211629413
Feedforward Loop,0.011366718997002763,0.011851540487499205,0.013145699090741493
Feedforward Loop,0.013378210665297971,0.013811313182566303,0.01437727106986406
Cascade,0.0029147820261711064,0.00336613874956587,0.00857373701085159
Cascade,0.008322535798345736,0.008710040624562449,0.014991961004876651
Single Input Module,0.0063552407206945985,0.006890942269291103,0.0075444874716607754
Feedforward Loop,0.018796314885258437,0.01928730702194042,0.02003436699532327
Feedforward Loop,0.006358656878854823,0.00691383057990133,0.0075587666009375885
Cascade,0.011942566929903607,0.012381042408326659,0.017763841875477446
Feedforward Loop,0.01575184625409794,0.016306555992214946,0.017205459665998
Feedforward Loop,0.005533340336016463,0.006147777489563931,0.007576709818958164
Single Input Module,0.0029593535078827195,0.003460568158790042,0.004926035200777081
Cascade,0.008402743638164865,0.008843778352496149,0.01354547712933244
Cascade,0.001205915378125669,0.0017383320133745133,0.006608188959006828
Cascade,0.010167898043210208,0.01058257204900641,0.015568291501301314
Feedforward Loop,0.006571004662263226,0.007191496954441084,0.0075931667198343225
Cascade,0.018977696314752115,0.01944343742792905,0.024692751969551008
Feedforward Loop,0.01039398578934905,0.010901566245168422,0.011562985389412367
Feedforward Loop,0.01500367557902917,0.01568504223661706,0.01688733368417582
Single Input Module,0.0037168419590038813,0.004278226093151424,0.005957166487201418
Feedforward Loop,0.016931134511515716,0.01728718835185234,0.01809544458875496
Feedforward Loop,0.016615341126516768,0.017068237295954934,0.018184262264633752
Feedforward Loop,0.005431333376066028,0.006037402622384058,0.007156145248195028
Feedback Loop,0.01644319177789255,0.016876769033562108,0.018556824716686193
Single Input Module,0.01015167277131819,0.010799497982800436,0.011359764062677058
Feedback Loop,0.018220733316799985,0.018718831696009717,0.019217567013690814
Feedforward Loop,0.008698839648846924,0.00935785542074801,0.010593676397972044
Cascade,0.003232998688764993,0.0038601125113630844,0.009630975612827124
Feedforward Loop,0.005512622954556928,0.005957697136402821,0.005728100455363547
Feedforward Loop,0.017503383435599745,0.018025792683780788,0.019032088884171686
Feedforward Loop,0.005806813191795581,0.006259621217666567,0.007368224456613099
Single Input Module,0.012958574124569987,0.01341537990440915,0.015345363407652616
Feedforward Loop,0.014241576061412482,0.014885251528667437,0.015534401540163521
Single Input Module,0.006338300602252376,0.0070572808955741435,0.007653131752896568
Cascade,0.004223918174015745,0.004603005935059646,0.011192150067262197
Cascade,0.012089466125166568,0.012398195473460147,0.01776067193226545
Cascade,0.012452855758442672,0.012888225808512597,0.017484670851665687
Single Input Module,0.01662820761554021,0.016996184294838148,0.018911913677765325
Cascade,0.017656568232590063,0.01803339515583908,0.02322298007599967
Cascade,0.008152803970682942,0.00868235172312526,0.012585005854558603
Single Input Module,0.008466799530598323,0.008992666221799344,0.01060892332766747
Feedforward Loop,0.009905170036104437,0.010245727270225,0.010946039758748114
Cascade,0.002431822146696784,0.0029660678384975355,0.009877597445006964
Feedforward Loop,0.019936099904404203,0.020587723236697594,0.02174395247724657
Feedforward Loop,0.01538454283880666,0.01574947064351251,0.01643085287747457
Feedforward Loop,0.0034540288878784045,0.003966058451049594,0.005223277868078968
Feedback Loop,0.017686192682104654,0.017838375760740998,0.018704244229766243
Single Input Module,0.010883106521127874,0.011400103811418604,0.012976726404632832
Feedforward Loop,0.002679756243947285,0.0032211275239424925,0.00489217177609545
Single Input Module,0.0015468708499534406,0.0021114084449119553,0.0037957242236781297
Feedback Loop,0.016295848682867875,0.0168191952625159,0.018220521390319613
Feedback Loop,0.007661163617325342,0.007988076306948786,0.009710245702939692
Single Input Module,0.0027290397299752755,0.003265056630188827,0.00512435631719567
Feedforward Loop,0.015889407242081717,0.016552268796638847,0.016862218067531402
Single Input Module,0.014255195558375802,0.014735728532188054,0.016445565020959927
Feedforward Loop,0.010350209568511227,0.010822071057856118,0.010989724459758614
Feedback Loop,0.012795308004019734,0.01318050251340416,0.013879374411963071
Single Input Module,0.005562766756785668,0.0060994265813953535,0.006629486688231676
Cascade,0.014233527858314499,0.01483323938050428,0.019597920638597027
Single Input Module,0.013683597031899516,0.01413892868483045,0.014901093010846148
Single Input Module,0.016614022100044534,0.016985992987221008,0.01733519132435001
Feedback Loop,0.0026853481413840565,0.003174645105388601,0.0036570239441789136
Feedback Loop,0.01799012799502259,0.018452661862186977,0.019043323369527687
Single Input Module,0.0017469306569808797,0.0022983895560499336,0.0039007070923378464
Single Input Module,0.010721483257397964,0.011183577492779732,0.011653787919671407
Feedforward Loop,0.00626067531479687,0.0068220919848012125,0.008200845839824864
Feedforward Loop,0.019738882921469487,0.02031885204372801,0.021353354799407524
Feedback Loop,0.012746840659075623,0.013184188240806768,0.013088123212685779
Feedforward Loop,0.0021844858877135874,0.002771170794047802,0.0040066892097568125
Single Input Module,0.011110156220040999,0.011597364460892922,0.012119594240592708
Single Input Module,0.008546112817577566,0.009075479419938512,0.009831094508210746
Cascade,0.0013813527577768011,0.001775226494482142,0.006120853148369127
Feedback Loop,0.011171375716294948,0.011601120604582932,0.012004490546763719
Feedforward Loop,0.013902944063745301,0.01440214679961364,0.016142118869058652
Single Input Module,0.012099790209569215,0.012639946266381815,0.014463420771575407
Cascade,0.009201531378363909,0.009662724459384167,0.013994322491080898
Feedback Loop,0.018093300545755236,0.018451780293803486,0.0197494808616587
Single Input Module,0.019743789727066613,0.0201039329696847,0.021385417588029983
Feedback Loop,0.005281323156538036,0.00576069926064245,0.005621724051737171
Feedback Loop,0.004544773456974809,0.004961915079872935,0.005689330480207013
Single Input Module,0.017003966670665453,0.01752136330358241,0.018975299277203626
Single Input Module,0.017444635391985625,0.01788695825892879,0.019264653871841668
Cascade,0.014735025835813736,0.015291659848865638,0.0211234780249709
Single Input Module,0.011860641099928095,0.01245394231396693,0.01307307485610302
Feedback Loop,0.019391887263580453,0.019800917968565607,0.021120229793484428
Cascade,0.0056057849158865245,0.006131757166058673,0.010227440540954265
Cascade,0.0026585134122038335,0.0032349386320647358,0.008245736796874436
Feedforward Loop,0.01111919921848013,0.011604344077979424,0.012400614009161792
Feedback Loop,0.011423459240824909,0.011783437685723555,0.012898268917840124
Cascade,0.01638761447123806,0.016971183682444574,0.020841476827786955
Feedforward Loop,0.003217225218691945,0.003956213045913777,0.004654005806847921
Single Input Module,0.007628497064316911,0.008145469992755948,0.009190166952328773
Cascade,0.008205343114312208,0.008723694296620982,0.014076851919843647
Cascade,0.01699474675840717,0.017528507024614687,0.02211663005849222
Feedback Loop,0.016191205487470797,0.016646962249979667,0.017876317335759173
Single Input Module,0.013638747193227801,0.013917936538060414,0.015098325750397129
Feedforward Loop,0.012177826840106078,0.012627748201864318,0.014581257652819596
Cascade,0.008161944159073245,0.00847486496697066,0.013123351482929351
Single Input Module,0.009336148832378443,0.009650057844292978,0.01114852787843218
Single Input Module,0.008293933206091016,0.008883174288072537,0.009930984511017232
Single Input Module,0.01131413690165477,0.01162740171901786,0.012245006025540135
Single Input Module,0.007363206678484636,0.007897056319234078,0.008689412362283678
Feedforward Loop,0.010413048901675347,0.010961006994118656,0.012752522391096924
Feedforward Loop,0.0038818227149222725,0.004272683671192925,0.004864182951562478
Single Input Module,0.0037194317254209226,0.004285302237991898,0.004830723429449336
Feedforward Loop,0.01765854709847324,0.01826230109289903,0.019007292893471656
Single Input Module,0.008197609745581399,0.008923329573690712,0.00945651051905925
Single Input Module,0.016148611949811518,0.01660587115556657,0.017329548268893068
Cascade,0.015665757631366656,0.016168484101848544,0.021033383793933606
Cascade,0.011311764423604327,0.01173438550369397,0.015489730800382552
